Date,FibonacciLevels,PBDT,RSI,macd,Volume,EPS (Rs),CI
2016-03-21,1079.9068617862165,2021.0,66.11242806357453,11.184592900646066,2336982,30.88,42.52708472720595
2016-03-22,1087.2701377507474,2021.0,68.58187098474147,14.314137095715978,1951984,30.88,51.388757609158
2016-03-23,1096.5516719046268,2021.0,68.64594485220888,16.627824940121627,2278434,30.88,57.359768483297856
2016-03-28,1098.4484190425417,2021.0,68.55987626093017,18.23682552447304,3320882,30.88,51.340203880438736
2016-03-29,1095.5258089691974,2021.0,67.6458621845459,19.14724477083677,1838796,30.88,50.82627300603347
2016-03-30,1097.7565011328832,2021.0,69.82320571873586,20.357809299623568,2136504,30.88,50.170574190566285
2016-03-31,1103.1785162074998,2021.0,72.83969553635362,22.170687361231103,4363964,30.88,45.939217079377855
2016-04-01,1086.198909511841,1906.0,59.11957197724467,20.97467047509372,3041400,29.07,45.27041198060654
2016-04-04,1091.9554740847875,1906.0,61.17733270973357,20.416222498881098,1752352,29.07,44.42051569405685
2016-04-05,1089.7466873303608,1906.0,59.59472303840742,19.44345552322875,1491794,29.07,43.42691778850121
2016-04-06,1097.4667358937952,1906.0,61.981039570100165,19.14143319259188,1763150,29.07,42.428371700388
2016-04-07,1096.4178811858862,1906.0,59.777240057273126,18.29152946144381,2390942,29.07,45.68241698603519
2016-04-08,1083.0307549120494,1906.0,52.72892895966685,16.037801287016464,1399500,29.07,50.06976643736244
2016-04-11,1076.7833985147709,1906.0,62.01473619103097,16.744879311883096,2400648,29.07,61.64324695713642
2016-04-12,1110.2961863521953,1906.0,63.21434675945788,17.51740047391172,1303628,29.07,61.15785005162807
2016-04-13,1121.184472131176,1906.0,64.06976450218659,18.209587659202725,1601468,29.07,60.89893941540088
2016-04-18,1088.8320703938882,1906.0,62.809568576532,18.31479471361717,7121504,29.07,60.18155439191428
2016-04-20,1088.8317856364993,1906.0,51.150696744736734,15.718006261471828,6405024,29.07,60.70584163387273
2016-04-21,1076.4263456309868,1906.0,47.59328566779569,12.580605637776443,2525724,29.07,61.09097664104703
2016-04-22,1072.856194410488,1906.0,46.60458096120477,9.71750474210762,1964126,29.07,59.61003580353778
2016-04-25,1072.008739011352,1906.0,51.63879742349526,8.58106251330787,2267654,29.07,59.62859845558143
2016-04-26,1089.7243922248792,1906.0,56.60513183569355,8.965178032348149,2554368,29.07,59.83619488281829
2016-04-27,1104.8518677254024,1906.0,59.10408605582927,9.9221802384925,1848670,29.07,60.088696023760086
2016-04-28,1114.7582138647442,1906.0,60.99487448081968,11.151566898797228,4992744,29.07,60.39120311423217
2016-04-29,1120.069054581197,1906.0,61.878568844701405,12.263608569704957,2372178,29.07,60.74935962260948
2016-05-02,1115.6067044899285,1906.0,60.21079011082021,12.681854690793443,1116692,29.07,61.12271660004361
2016-05-03,1103.1117387883587,1906.0,51.89224808060548,11.134960857563328,2153118,29.07,61.49013534037058
2016-05-04,1096.41796875,1906.0,51.87630422952091,9.792539085198996,1364892,29.07,61.52721256908089
2016-05-05,1099.3407683007952,1906.0,50.592327959162986,8.355078839943417,1246566,29.07,61.52033117656198
