Date,FibonacciLevels,PBDT,RSI,macd,Volume,EPS (Rs),CI
2017-10-26,302.76872115561736,106.63,61.81345474959763,5.347328822549571,1474933,1.61,55.40999502291216
2017-10-27,301.1662628682686,106.63,63.87542015874892,22.568885165568645,510117,1.61,42.52195276340671
2017-10-30,299.75229935390803,106.63,67.19707188522176,41.95510899190231,500658,1.61,39.592649945908015
2017-10-31,304.2768913035966,106.63,67.82797567514709,57.8837072576398,3629462,1.61,39.28983830915904
2017-11-01,340.1434756112008,106.63,68.9202319895451,71.77048612244744,6791796,1.61,38.91233190364834
2017-11-02,329.16195317803795,106.63,67.77023558148551,80.87333127795227,1340030,1.61,38.50284041680253
2017-11-03,326.71118249372086,106.63,67.15733901135334,86.59639381933994,1051083,1.61,38.14517207219812
2017-11-06,326.0513284943487,106.63,71.14474485676105,97.00546940297043,875130,1.61,32.5851637312891
2017-11-07,328.4280597888743,106.63,62.99043058857978,97.21168067899998,994486,1.61,32.6781209763119
2017-11-08,324.64382307513097,106.63,63.57555812030122,97.15607518595787,408429,1.61,32.92704051180291
2017-11-09,330.93516046463475,106.63,61.15487002034448,93.93471047240928,1129910,1.61,34.812094986774134
2017-11-10,322.6097387914808,106.63,59.25236036348776,88.71898509672428,1000630,1.61,41.24616095880257
2017-11-13,318.4470557117604,106.63,53.05215072845835,77.96555953596817,587578,1.61,41.86692205781732
2017-11-14,318.16320517639355,106.63,54.01121946278097,69.69871155206056,705306,1.61,46.32014066520158
2017-11-15,311.9191998704117,106.63,54.32543489328583,62.754856064430896,1701301,1.61,65.08135101278907
2017-11-16,313.905899546782,106.63,57.00723807805009,59.37412579667944,669913,1.61,67.10115468361984
2017-11-17,317.4063778292017,106.63,67.43754441610517,70.10502283565802,849992,1.61,66.85230698323873
2017-11-20,316.6494890476025,106.63,70.64797278044234,83.59797943466583,622658,1.61,57.59543753825342
2017-11-21,319.77154295910594,106.63,70.5654966423586,93.15192478755309,766870,1.61,57.27330015830194
2017-11-22,318.49433700778576,106.63,73.96409991466986,106.30119898026987,842038,1.61,50.02186014695077
2017-11-23,318.39975449665155,106.63,69.12413018243059,111.60477887934758,897818,1.61,49.85154675922359
2017-11-24,321.9948067705083,106.63,70.16175296170303,116.35699610827668,1121583,1.61,48.1860935837096
2017-11-27,319.9607293642194,106.63,71.04323199693863,120.32615263540627,838506,1.61,47.56270805455421
2017-11-28,319.7715632264682,106.63,75.41929468525025,130.86084858460617,697992,1.61,38.5252844558655
2017-11-29,319.913469788197,106.63,76.95149537690249,141.2161736143535,814738,1.61,35.69474748325943
2017-11-30,318.25783626850256,106.63,69.78099982439514,142.22010791270986,4490135,1.61,35.27101215639395
2017-12-01,320.3391860278702,106.63,70.19093149096217,142.13963008264454,894675,1.61,35.16605365432817
2017-12-04,320.6230273144064,106.63,60.527715075818406,132.2200518637028,565552,1.61,34.904601480405205
2017-12-05,321.6636990268613,106.63,60.49463210585088,122.9111393846033,793096,1.61,37.56526179555952
2017-12-06,321.9474846823707,106.63,66.09501659996167,122.74293197209408,1088413,1.61,44.221594289270776
2017-12-07,321.7582849204699,106.63,75.21642727698422,141.76590690776902,494152,1.61,33.71780304240906
2017-12-08,328.2861883166212,106.63,78.8450603698875,167.22281737337926,1075013,1.61,29.86511215058393
2017-12-11,327.90775073521814,106.63,80.59721704224205,192.23116775386188,804547,1.61,30.38421472366754
2017-12-12,325.68447961764974,106.63,80.40521463692438,209.4473597833994,724281,1.61,28.55538064642745
2017-12-13,325.44792443397506,106.63,79.51470772874652,219.7344950048773,492970,1.61,29.41872168160038
