Date,FibonacciLevels,PBDT,RSI,macd,Volume,EPS (Rs),CI
2019-05-23,1134.1662783782265,120.35,42.34291882494908,-15.332475299280532,222973,5.51,62.36743795759676
2019-05-24,1146.2187501564338,120.35,47.08592954740249,-14.060893463281444,257237,5.51,62.66214246620999
2019-05-27,1165.7107190197876,120.35,52.87714687578533,-10.664999297496934,294036,5.51,62.82293157544754
2019-05-28,1171.5137761693093,120.35,51.172166138183314,-8.515904817975525,512288,5.51,62.99227681674054
2019-05-29,1163.875735029411,120.35,53.68511092654202,-5.745947465189829,278890,5.51,63.02620399561248
2019-05-30,1182.921376216441,120.35,53.61376181076765,-3.5340225760287467,1087194,5.51,56.52209432510018
2019-05-31,1199.8840804897472,120.35,60.37796289849303,1.0721525966341687,1342593,5.51,47.81605244399918
2019-06-03,1357.7061622203923,120.35,73.92963854681298,14.045826840942029,3836627,5.51,29.300056531271867
2019-06-04,1346.5465239291473,120.35,68.5989891345516,22.072036722465327,1306110,5.51,30.02727120801273
2019-06-06,1363.955497338628,120.35,69.53115381955159,28.888277819948144,1226417,5.51,32.819811728686005
2019-06-07,1394.7066350481673,120.35,74.22087964385653,38.3347424608753,1963985,5.51,30.744601253317647
2019-06-10,1391.234650593972,120.35,70.25264179979241,43.78754148866824,731973,5.51,31.333309521728967
2019-06-11,1390.1931512978103,120.35,70.32867845469997,47.6279428983928,827845,5.51,31.77760270566984
2019-06-12,1387.6139906112294,120.35,70.50061774784325,50.23647066188846,523008,5.51,32.45795101644231
2019-06-13,1372.6849234246636,120.35,68.72549670248237,51.11816702709848,376393,5.51,34.741105342035574
2019-06-14,1383.695682349828,120.35,67.81224605669118,50.93361531185428,349894,5.51,37.9612591324383
2019-06-17,1376.8511566476725,120.35,65.39682411277767,49.45289101038861,418598,5.51,38.35767497602183
2019-06-18,1355.0278870346312,120.35,63.77026368628368,47.22672357340252,434991,5.51,38.7612796939786
2019-06-19,1371.89132450556,120.35,62.98650302930167,44.71094441004129,486030,5.51,42.47532674448879
2019-06-20,1392.9209672160446,120.35,66.38732032575014,44.01477932171633,1462438,5.51,46.07342341232203
2019-06-21,1374.1728607403552,120.35,59.57727169545071,40.90638192762435,563852,5.51,53.34730729969019
2019-06-24,1346.1993144154198,120.35,58.68141335729979,37.719988568939925,420849,5.51,78.82741549329926
2019-06-25,1340.5948149639034,120.35,53.88236170658367,33.226876136314786,1156668,5.51,72.24462632977811
2019-06-26,1314.406712502736,120.35,50.11499561227997,27.99063635911125,597977,5.51,68.19504073987167
2019-06-27,1312.323619830817,120.35,51.09551553654097,23.925289393445382,688891,5.51,64.75527761383712
2019-06-28,1370.8992589383363,120.35,59.91108646349279,24.166917134255755,1568379,5.51,63.9107345178788
2019-07-01,1345.257127023666,151.32,61.73824578149677,24.990847031063595,675302,5.7,63.172825787434185
2019-07-02,1339.156262417,151.32,58.10506539918077,24.19229476271721,527306,5.7,62.344293081815806
2019-07-03,1327.996646978855,151.32,54.68664027268458,22.14750098680201,220036,5.7,61.58566522459888
2019-07-04,1311.5796937212106,151.32,51.07033650176687,19.01510139373204,369704,5.7,60.85561225109385
2019-07-05,1291.492342084996,151.32,47.16070268780864,14.856582261127414,374619,5.7,60.20095274405129
2019-07-08,1280.1840403135784,151.32,46.467873388043024,11.160131693878157,523713,5.7,58.87759132063925
2019-07-09,1292.2859176946688,151.32,52.12614870496674,10.146802369304396,806802,5.7,58.24261145293839
2019-07-10,1302.5032447768235,151.32,49.78355871092435,8.406372291444995,440764,5.7,63.7717772289996
2019-07-11,1288.0700023517536,151.32,49.13804501581651,6.721460847492836,560976,5.7,62.9788878508132
2019-07-12,1306.4214219989285,151.32,58.813949876005374,9.119120251850518,1433514,5.7,62.8645576932511
2019-07-15,1356.5654633701688,151.32,62.41875651559906,12.670203295040665,1269223,5.7,56.39372592324938
2019-07-16,1349.9688663271806,151.32,63.11563433413714,15.664093052724638,739553,5.7,56.43221631583384
2019-07-17,1415.5378922538546,151.32,61.37260252432478,17.324791087969288,1150697,5.7,49.85854440596864
2019-07-18,1388.7545987980202,151.32,62.12069063902542,18.76476928204829,464854,5.7,49.90507632416314
2019-07-19,1387.7130203849172,151.32,57.9672558996508,18.52379167474692,294619,5.7,49.93801273275747
2019-07-22,1377.843109528372,151.32,55.55620193010997,17.42755368030089,344053,5.7,50.07132541377754
2019-07-23,1366.7826246577772,151.32,55.85951553560786,16.47689685407181,209290,5.7,50.20548956845983
2019-07-24,1361.6245390902577,151.32,47.89362246721438,13.126851137090398,398286,5.7,50.48836527378072
2019-07-25,1338.1645114629894,151.32,49.94442860067236,10.997502634598732,391683,5.7,50.70623546645393
2019-07-26,1356.763762049187,151.32,54.54255326279253,10.742980651946027,336855,5.7,53.22254408593565
2019-07-29,1366.931459821899,151.32,55.18083140599995,10.64270593722108,396917,5.7,53.38197288526704
2019-07-30,1362.9635796405828,151.32,46.995688340007234,7.890872773087722,364277,5.7,53.7883321794165
2019-07-31,1345.604073749039,151.32,51.33462870747629,7.069311792467261,343969,5.7,59.12207980330879
2019-08-01,1330.228807341221,151.32,54.44697215201023,7.448983229976648,492611,5.7,59.39083366925246
2019-08-02,1264.758810966912,151.32,42.76161850423268,3.281620843192968,976127,5.7,48.67283404685849
2019-08-05,1276.9104646418116,151.32,41.28756748154247,-0.697367112792108,362139,5.7,49.049720425176986
2019-08-06,1279.6383631129336,151.32,49.71522097786127,-0.7523943027167661,335196,5.7,56.74465337534017
2019-08-07,1299.5274265738408,151.32,45.092311595253456,-2.8126875764514807,230845,5.7,57.56086577954719
2019-08-08,1295.509854954601,151.32,49.03009592256565,-2.8319846116260123,203895,5.7,61.22484946813877
2019-08-09,1320.3089920395569,151.32,53.469871629456826,-0.884028259617935,399477,5.7,64.24586207549658
2019-08-13,1301.3624856446663,151.32,46.92166155150007,-2.2202440146127174,610748,5.7,64.85974052469314
2019-08-14,1334.8412359493814,151.32,53.31603798918032,-0.2586004880884047,3189181,5.7,47.92387699539191
2019-08-16,1351.2582804890417,151.32,66.1691633508788,10.01735088040232,3588110,5.7,40.748115465945176
2019-08-19,1449.314432427292,151.32,67.3401521432242,19.010557611619102,1815260,5.7,38.13610412871534
2019-08-20,1451.6950174357896,151.32,65.71625193030415,25.139559212884933,561093,5.7,39.1901244162782
2019-08-21,1445.544892231732,151.32,64.00705292944474,28.934901806536345,779790,5.7,40.08027737880056
2019-08-22,1433.6908742263297,151.32,61.20027861440266,30.39965545841437,602866,5.7,40.90639362056472
2019-08-23,1413.5538270485993,151.32,59.27465630242546,30.38971911474028,737187,5.7,41.75948902211497
2019-08-26,1411.123780767898,151.32,61.81805678812657,31.63012914892647,501588,5.7,44.29054911438143
2019-08-27,1438.5515198103594,151.32,63.58645208948764,33.39286190086523,466048,5.7,45.323619633509765
2019-08-28,1465.1362972706524,151.32,68.53236943660094,38.02154384920482,1429654,5.7,44.12284387909537
2019-08-29,1493.0103604054352,151.32,67.87189509283823,40.97333920245342,619177,5.7,44.50564376970801
2019-08-30,1484.231692792214,151.32,65.5953821203675,42.011948961683856,869797,5.7,44.66550849758513
2019-09-03,1476.047926075632,151.32,62.34952063647,41.183666947272286,301790,5.7,44.99832216956007
2019-09-04,1473.12167189195,151.32,62.81459457494194,40.33840754591256,320979,5.7,51.06044949396816
2019-09-05,1475.0560305996107,151.32,62.8289334702345,39.22438715570229,314054,5.7,53.84906683872884
2019-09-06,1472.8736965612788,151.32,63.31616512512566,38.15778967842516,1098301,5.7,68.13044276246465
2019-09-09,1461.2180300770888,151.32,61.65698735300717,36.4045868980761,625979,5.7,66.88187128266784
2019-09-11,1462.2099954586108,151.32,62.19910257342561,34.86143287697337,626957,5.7,65.70313082007382
2019-09-12,1573.3162876029246,151.32,53.61871583745905,30.67698609154285,2491122,5.7,53.173425697042205
2019-09-13,1471.03137026571,151.32,53.47184368105197,27.001311540571805,883257,5.7,52.4807124755344
2019-09-16,1455.6935499069778,151.32,48.188200321537046,22.042067512282983,408800,5.7,51.74820599499925
2019-09-17,1434.1807905218127,151.32,43.83716708563395,16.25287445089475,605036,5.7,49.56195484390992
2019-09-18,1438.164752097836,151.32,48.38556023739553,13.029599044027918,790353,5.7,47.07837375213507
2019-09-19,1429.151298376726,151.32,44.06345392531256,8.67141736373378,465939,5.7,46.31493985807229
2019-09-20,1469.0394237227729,151.32,55.501929318948655,9.658890134910052,1265101,5.7,44.08059266022762
