Year,Debt_Equity_Ratio,Current_Ratio,Asset_Turnover_Ratio,Inventory_Turnover_Ratio,Debtors_Turnover_Ratio,Interest_Coverage_Ratio,Operating_Margin,Net_Profit_Margin,Return_On_Net_Worth
2021,0.59,1.06,1.21,19.95,8.44,1.51,10.45,1.15,2.29
2020,0.81,1.02,1.47,15.44,10.45,2.22,14.58,3.66,9.1
2019,0.82,1.1,1.69,15.16,10.05,2.73,12.36,3.63,7.99
2018,0.79,1.3,1.61,14.64,10.16,2.37,11.73,3.25,6.41
2017,0.74,1.26,1.64,15.3,10.42,2.79,12.69,4.53,8.27
2016,0.62,1.18,1.68,15.66,10.2,4.12,13.44,5.98,10.31
2015,0.45,1.34,1.57,15.37,9.02,6.61,15.43,7.55,11.32
2014,0.36,1.4,1.57,16.42,8.63,5.83,16.48,8.56,11.62
