,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband
0,2014-02-25,157.68555831247463,158.82986570226038,156.63280110131018,157.50247192382812,437027,0.0,0,0.0,-1.827983869275803,,,,157.50247192382812,,,,
1,2014-02-26,156.72435376152163,158.82988237344824,156.72435376152163,157.5482635498047,1330846,0.0,0,0.0,-1.827983869275803,,,,157.50663479891688,,,,
2,2014-02-28,157.54825969427012,160.56922027158612,157.54825969427012,158.7841033935547,774081,0.0,0,0.0,-1.827983869275803,,,,157.62276830752032,,,,
3,2014-03-03,157.9601694244746,158.50942850190106,156.08350281393143,157.73130798339844,525786,0.0,0,0.0,-1.827983869275803,,,,157.63263555078197,,,,
4,2014-03-04,157.68556848215425,159.9741834093263,155.94622672494228,159.3333740234375,1043201,0.0,0,0.0,-1.827983869275803,,,,157.78724813920522,,,,
5,2014-03-05,159.37916201900117,162.0797250579818,156.72436010739128,157.1820831298828,1298495,0.0,0,0.0,-1.827983869275803,,,,157.73223313835774,,,,
6,2014-03-06,158.1890881827302,158.64681123073078,156.35819599072775,158.23486328125,1274906,0.0,0,0.0,-1.827983869275803,,,,157.77792678771158,,,,
7,2014-03-07,159.28760926755947,159.28760926755947,156.72435758907457,157.04476928710938,477872,0.0,0,0.0,-1.827983869275803,,,,157.71127610583864,,,,
8,2014-03-10,156.72436882037775,158.5094859136176,156.54128239492218,158.28062438964844,1259513,0.0,0,0.0,-1.827983869275803,157.87990781636722,,,157.76303504073041,,,,
9,2014-03-11,158.37213531952054,160.20302705731845,157.31937815772488,159.9283905029297,752182,0.0,0,0.0,-1.827983869275803,158.28960435367972,,,157.95988553729399,,,,
10,2014-03-12,159.9284057506741,162.40010703863683,157.63979086022772,158.55523681640625,1895804,0.0,0,0.0,-1.827983869275803,158.34273084622504,,,158.01400838084965,,,,
11,2014-03-13,161.11849088980145,161.11849088980145,156.54126103497754,157.27362060546875,838177,0.0,0,0.0,-1.827983869275803,158.12890879807378,,,157.94670040126957,,,,
12,2014-03-14,157.45670446817175,159.5622329611748,156.58703360349134,159.2418212890625,1071159,0.0,0,0.0,-1.827983869275803,158.35149129627152,,,158.06443866379618,,,,
13,2014-03-18,158.46373296006948,162.26282886654306,158.37218275831847,162.07974243164062,1267363,0.0,0,0.0,-1.827983869275803,159.09714152334536,,,158.42946627905476,,158.48004804338728,161.2058022464894,155.75429384028516
14,2014-03-19,162.85786437988278,164.5972204447858,160.93543584743173,162.8578643798828,1458065,0.0,0,63.76474537823234,1.4345985745814958,159.84928609465285,,,158.83204792458457,,158.8625760759626,162.38427474772666,155.34087740419855
15,2014-03-20,162.49165475066474,164.32254663517926,161.85084538480396,163.9105987548828,636364,0.0,0,65.76019881101317,1.5366978035317296,160.66154862669885,,,159.29373436370258,,159.31702859061105,163.65545834218221,154.97859883903988
16,2014-03-21,163.91063166189082,166.42810850851168,163.91063166189082,164.73452758789062,1337111,0.0,0,67.27897159110043,1.6144072239823066,161.47614441893722,,,159.78835192953784,,159.74205889020647,164.9369554049709,154.54716237544204
17,2014-03-24,163.49868884192836,165.69575402610533,162.9951906630462,164.2768096923828,931333,0.0,0,65.5397331948436,1.5254174754362841,162.03627747362634,,,160.19639354434193,,160.2095947265625,165.78890198601113,154.63028746711387
18,2014-03-25,164.78031505237925,165.23803814974698,159.37918809088032,161.1185302734375,2196893,0.0,0,54.97859453257858,0.9850470029712436,161.8527280335886,,,160.2802241560779,,160.33710588727678,165.91174487861375,154.7624668959398
19,2014-03-26,161.11849210255352,163.8648300361198,160.93540570070186,162.17124938964844,1089569,0.0,0,57.44038137249825,1.111006613988254,161.91643230480057,,,160.45213554094795,,160.69347490583147,166.0321834539689,155.35476635769402
20,2014-03-27,162.26282997025262,164.27680870507743,161.98819333173114,162.8578643798828,1235221,0.0,0,59.01453361838978,1.1915495762621604,162.10471871981701,,,160.6708381626693,,161.02368927001953,166.27855100230832,155.76882753773074
21,2014-03-28,163.04092917268653,165.6499417472723,162.995154081498,163.9563751220703,1309993,0.0,0,61.469945429729705,1.3171830030185738,162.4750500002677,,,160.96952334079666,,161.51737540108817,166.45080256265481,156.58394823952153
22,2014-03-31,163.86483506832522,165.69572708026183,162.8120777489007,164.45986938476562,558194,0.0,0,62.57660128759227,1.3738060782278851,162.8720138771673,,,161.286827526612,,161.95875004359655,166.7483264902084,157.1691735969847
23,2014-04-01,165.69570718874866,173.3396860083751,163.59017883406747,172.4242401123047,2052941,0.0,0,74.87142771695196,2.002882296140537,164.7824591241948,,,162.29931957985679,,162.85131072998047,170.0582722503623,155.64434920959863
24,2014-04-02,173.88897653265107,173.88897653265107,166.6569582365509,166.9315948486328,1165376,0.0,0,60.185923248977076,1.251484815099878,165.2122862690824,,,162.7204355133819,,163.44962201799666,170.50951424887486,156.38972978711845
25,2014-04-03,167.52663156260613,169.58638522935948,166.88582210444702,168.44207763671875,634893,0.0,0,62.371702203923796,1.363322226231396,165.85824454260967,2.4712473191609945,-163.38699722344867,163.24058479732162,,164.24736894880022,170.80735890778922,157.6873789898112
26,2014-04-04,169.3575333181325,169.3575333181325,164.45989095635758,164.73452758789062,776792,0.0,0,54.46742186592577,0.9588923785293415,165.63350115166588,2.2648734907552637,-163.36862766091062,163.37639777828244,43.58181046471226,164.63970511300224,170.53326354434802,158.74614668165646
27,2014-04-07,164.78028341599963,168.62515390198678,164.00214871242946,167.98434448242188,779222,0.0,0,59.332389412969405,1.2078129633253796,166.1036698178171,2.3366187223002157,-163.76705109551688,163.79530202411328,46.899947911952985,165.06146240234375,171.0106962333745,159.112228571313
28,2014-04-09,167.61821756796547,167.8928402739917,165.5126883539546,167.2978057861328,563299,0.0,0,57.924366218776235,1.1357701483392992,166.34249701148025,2.3114346205611014,-164.03106239091915,164.11371145702412,47.40180376002148,165.37860107421875,171.2950918659415,159.462110282496
29,2014-04-10,166.70267719385822,167.8927454977771,165.3752696772518,165.83299255371094,594536,0.0,0,54.929185399584895,0.9825189387734613,166.2405961199264,2.1485111534149155,-164.0920849665115,164.2700097385411,47.88021135637891,165.5159149169922,171.37459093479092,159.65723889919346
30,2014-04-11,165.8788340870514,167.8012765257583,163.59021878792376,164.00216674804688,1003952,0.0,0,51.35487022116928,0.799635781619157,165.7929102455505,1.8503313225389775,-163.94257892301152,164.2456603757689,48.466877140122314,165.46360342843192,171.36525461042348,159.56195224644037
31,2014-04-15,164.0479202487328,164.64296852931977,162.07971693806198,163.68174743652344,522375,0.0,0,50.73266492446345,0.7678000694953783,165.3706776837451,1.570067734209374,-163.80060994953573,164.19439556311022,49.037579160761595,165.42109898158483,171.367968107491,159.47422985567866
32,2014-04-16,163.04093928207044,165.60417692440168,163.04093928207044,163.77328491210938,1473922,0.0,0,50.91562665120224,0.777161476241614,165.05119912941797,1.339897624776114,-163.71130150464185,164.1561127766556,53.63959881983116,165.61072431291853,171.11978971720785,160.10165890862922
33,2014-04-17,163.95637384571498,164.68871942464355,162.94937772179335,163.9105987548828,812604,0.0,0,51.20834289290491,0.7921385747236388,164.82307905451094,1.155249240173248,-163.6678298143377,164.1337933201308,57.21443052314052,165.7349635532924,170.9821224626392,160.4878046439456
34,2014-04-21,163.86486579545533,165.28381016449913,162.49169652901296,163.08673095703125,677877,0.0,0,49.30835019582413,0.6949236830121922,164.475809435015,0.9316948211808551,-163.54411461383415,164.0386058325763,57.891383489825934,165.75131116594588,170.96115078618257,160.5414715457092
