Date,Close,PBDT,RSI,macd,Volume,EPS (Rs),CI
2016-01-01,257.7312316894531,85.89,54.508074332715466,16.100487869473,124367,1.3,59.56505853740498
2016-01-04,258.1974792480469,85.89,48.30872951803563,12.228002922472117,554107,1.3,77.61480130434734
2016-01-05,257.3116455078125,85.89,46.946989532955946,8.02922470775593,629235,1.3,74.91717027622276
2016-01-06,257.26495361328125,85.89,39.42152069064871,-1.8003293834208307,750275,1.3,55.81537761102145
2016-01-07,249.6189117431641,85.89,27.633197237228543,-25.41643816558553,910959,1.3,30.48525611227621
2016-01-08,250.87765502929688,85.89,25.57691921204882,-47.60770391948972,579211,1.3,28.55007722812528
2016-01-11,245.3295745849609,85.89,31.528646055116468,-60.13637279259001,1259036,1.3,23.06318255230976
2016-01-12,237.6833648681641,85.89,31.369303099172555,-69.52147387573041,1520863,1.3,23.553366902224205
2016-01-13,239.5017242431641,85.89,33.72956475109521,-74.41676886999176,1266564,1.3,24.18092875758286
2016-01-14,242.25244140625,85.89,31.476646620233097,-80.62259815543894,1136944,1.3,24.889546775294782
2016-01-15,233.39407348632807,85.89,34.23784379916633,-82.6872247934416,390418,1.3,25.72953499822069
2016-01-18,230.5967254638672,85.89,32.171510429101744,-86.14315424864617,813644,1.3,26.77005457768216
2016-01-19,232.6947631835937,85.89,30.163528072654472,-90.7171375518842,852044,1.3,27.822151396853528
2016-01-20,232.4150390625,85.89,24.210255750911685,-103.68598855454184,948030,1.3,23.52609746132853
2016-01-21,224.1627960205078,85.89,19.28521081617733,-125.1837700973133,1598807,1.3,17.399887728123584
2016-01-22,224.67564392089844,85.89,36.90857939702007,-124.63846583306258,1104880,1.3,22.23636021065224
2016-01-25,221.2255401611328,85.89,35.97250516750401,-124.55728918134992,1288751,1.3,24.72422726244029
2016-01-27,220.85255432128903,85.89,38.1624215756948,-120.78386280579024,2994537,1.3,34.88566167726776
2016-01-28,227.05337524414065,85.89,37.76913650559028,-117.0985063203857,2276163,1.3,44.10900375890033
