Year,Debt_Equity_Ratio,Current_Ratio,Asset_Turnover_Ratio,Inventory_Turnover_Ratio,Debtors_Turnover_Ratio,Interest_Coverage_Ratio,Operating_Margin,Net_Profit_Margin,Return_On_Net_Worth
2021,0.01,0.62,2.3,22.45,43.26,24.87,7.87,2.98,4.19
2020,0,0.55,2.7,23.12,35.29,31.22,10.15,4.25,6.79
2019,0,0.47,3.6,26.52,45.61,107.73,13,6.74,13.19
2018,0.01,0.46,4.09,25.53,61.63,27.32,14.88,7.81,16.37
2017,0.01,0.56,4.55,24.17,61.29,88.26,13.58,7.45,17.35
2016,0.01,0.6,3.11,22.36,54.39,78.05,14.11,6.96,16.89
2015,0.05,0.59,2.24,25.11,44.4,21.62,12.56,5.88,14.52
2014,0.08,0.69,2.3,27.53,33.86,19.32,11.23,5.02,12.4
