Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-03-04,948.5218290115304,957.3563717257326,944.6142727231719,951.6860961914062,2030332,0.0,0.0
2014-03-05,957.7178392630499,971.0545336433038,952.4935557513671,956.4647827148438,2302006,0.0,0.0
2014-03-06,956.8681766744651,959.9050027936028,948.0760434712467,951.7288208007812,1314562,0.0,0.0
2014-03-07,953.746157893745,955.6787304112481,914.3730907518552,946.525634765625,4698472,0.0,0.0
2014-03-10,946.355717273687,946.5255704457941,906.8126959397669,910.0618896484375,3829768,0.0,0.0
2014-03-11,915.3074306621984,924.9276737800674,901.2911219792043,913.884521484375,2550254,0.0,0.0
2014-03-12,914.4581178033852,930.0671915745298,914.4581178033852,925.6923828125,1669788,0.0,0.0
2014-03-13,912.3555098213371,935.2700295426561,907.5984804555806,912.9926147460938,2019884,0.0,0.0
2014-03-14,909.3612698358904,917.6436354415887,902.2681877229276,908.7454223632812,2161246,0.0,0.0
2014-03-18,907.0252051034364,913.9484339170754,893.7521834881321,901.291259765625,2565842,0.0,0.0
2014-03-19,881.3284992636217,881.3284992636217,855.0160860126515,866.2078857421875,8652662,0.0,0.0
2014-03-20,865.613316654289,901.6734177589989,854.3153318211847,895.4298095703125,5728956,0.0,0.0
2014-03-21,902.5654436334736,911.0601772206121,885.5759764591965,903.4149169921875,4680776,0.0,0.0
2014-03-24,907.6409562359146,916.5604258147421,903.0537797134236,914.2881469726562,2183014,0.0,0.0
2014-03-25,910.6353536431108,922.5279795302409,904.6890406995457,911.7608642578125,2249968,0.0,0.0
2014-03-26,912.3556243393269,916.7941017998186,886.6590558154033,889.1862182617188,3192350,0.0,0.0
2014-03-27,892.3504756588035,898.3180465415908,877.1024708623631,889.5047607421875,5012476,0.0,0.0
2014-03-28,890.673034326024,901.6525216493984,883.4737665902434,892.8392333984375,2971162,0.0,0.0
2014-03-31,893.6458850030822,911.0388295638347,884.3016789811869,906.0269165039062,2683268,0.0,0.0
2014-04-01,911.0601001002382,928.0495658363732,911.01758495771,924.5242309570312,2755932,0.0,0.0
2014-04-02,930.1734151454965,935.2702557764306,917.8773078624653,922.6343383789062,3763016,0.0,0.0
2014-04-03,922.8890135678358,926.775312193486,912.1644138277417,920.19189453125,1581194,0.0,0.0
2014-04-04,922.5279760933165,928.899025651972,904.6890373290811,908.447998046875,1694656,0.0,0.0
2014-04-07,904.7315529583394,919.9582991944474,900.7389663488171,914.7977905273438,2594986,0.0,0.0
2014-04-09,914.0333714380095,918.2807384056582,894.0707466900603,909.1063842773438,3350500,0.0,0.0
2014-04-10,909.1062076907505,912.6102847584218,898.4028657504106,903.0537109375,2152886,0.0,0.0
2014-04-11,899.5924457088629,923.75992555306,891.9471841306006,919.1728515625,2340742,0.0,0.0
2014-04-15,926.3505863709979,959.0553067518173,923.398687543251,956.825439453125,3597244,0.0,0.0
2014-04-16,961.6039601847257,961.6039601847257,927.709948269505,932.8493041992188,3475910,0.0,0.0
2014-04-17,942.9155217826517,945.8886788333177,910.0833524697706,944.147216796875,7681438,0.0,0.0
2014-04-21,942.9154632249001,952.6418920655586,939.2202747162233,943.6587524414062,1842594,0.0,0.0
2014-04-22,948.8404506524676,955.6149797102327,942.8728797788345,943.3613891601562,1486274,0.0,0.0
2014-04-23,947.7574254918272,953.0666342115213,934.8879865116752,940.2608642578125,1938992,0.0,0.0
2014-04-24,940.2608642578124,940.2608642578124,940.2608642578124,940.2608642578125,0,0.0,0.0
2014-04-25,945.8884117092732,949.2863045218795,931.5322938369198,936.650390625,3160448,0.0,0.0
2014-04-28,936.6504406655362,944.0620740199082,925.9683560433988,930.7466430664062,2550766,0.0,0.0
2014-04-29,928.4743161948487,937.1177484939728,924.6091712045958,931.9783935546875,1846180,0.0,0.0
2014-04-30,928.0919552035984,936.7990552133788,926.3504937234601,929.8333129882812,2397378,0.0,0.0
2014-05-02,926.4570684292432,942.8731029142712,926.4570684292432,938.0098876953125,1917778,0.0,0.0
2014-05-05,939.0078071455441,946.7379934412777,936.1832462039974,940.239501953125,1314478,0.0,0.0
2014-05-06,940.2396765765873,943.5951589541535,930.1734368348697,933.9535522460938,961232,0.0,0.0
2014-05-07,930.6192982300414,935.6948806793796,908.9789857096656,919.7885131835938,4716182,0.0,0.0
2014-05-08,919.5974696257815,926.6905517687986,912.1857312626352,918.302001953125,2606900,0.0,0.0
2014-05-09,914.0334153578352,927.9222852703182,914.0334153578352,917.3887939453125,1799440,0.0,0.0
2014-05-12,914.4580320888289,920.2769036115162,901.7796012665373,917.1551513671875,2886064,0.0,0.0
2014-05-13,919.8945941795472,950.9852940867935,919.8945941795472,939.0714111328125,2547484,0.0,0.0
2014-05-14,940.5369588520844,950.4333452467528,934.8880433870555,941.2590942382812,1389228,0.0,0.0
2014-05-15,941.2590821373542,945.0391974489548,922.1670837089052,931.5112915039062,2520196,0.0,0.0
