Date,Close,PBDT,RSI,macd,Volume,EPS (Rs),CI
2016-01-01,1075.6993408203125,2021.0,49.977956454695,3.090838229394421,712262,30.88,51.00390056936149
2016-01-04,1054.86572265625,2021.0,42.64175067739021,0.9599401953851155,1870184,30.88,61.61107708845287
2016-01-05,1045.673095703125,2021.0,39.86136647472482,-1.4538212713430312,2678020,30.88,54.688025639961
2016-01-06,1060.2078857421875,2021.0,45.87106987516525,-2.1689067333688854,2653228,30.88,55.11101572925325
2016-01-07,1055.600341796875,2021.0,44.35780504920457,-3.071995353290504,3199580,30.88,55.261931970859486
2016-01-08,1067.330322265625,2021.0,48.972985765201024,-2.808809985598828,1907544,30.88,55.40724614309613
2016-01-11,1051.638427734375,2021.0,43.745631617648456,-3.822376455163976,2930228,30.88,55.46945700187783
2016-01-12,1035.9241943359375,2021.0,39.2297422088245,-5.826478473585894,3482594,30.88,45.18954288652118
2016-01-13,1014.6224975585938,2021.0,34.09205696303465,-9.029525912153533,4746092,30.88,36.03305110094488
2016-01-14,1014.4447631835938,2021.0,34.051985389683225,-11.450313674140716,2742052,30.88,35.43922058157374
2016-01-15,1006.5651245117188,2021.0,32.24259321252836,-13.845029522181903,3269408,30.88,35.80760671132113
2016-01-18,1013.9323120117188,2021.0,35.683649424943994,-14.975757414268855,2213922,30.88,37.22654866107604
2016-01-19,1014.667236328125,2021.0,36.03264423362326,-15.632364992068004,967910,30.88,39.42808539166248
2016-01-20,1015.0233764648438,2021.0,36.213274643578686,-15.940244479527792,1615954,30.88,40.15126255975885
2016-01-21,1006.0541381835938,2021.0,33.63712733871898,-16.71530018610406,2675536,30.88,45.65550580671031
2016-01-22,1024.4617919921875,2021.0,42.65359897868095,-15.663632983606703,1343178,30.88,47.50525414128663
2016-01-25,1028.432861328125,2021.0,44.40834694419208,-14.34439379834339,1397560,30.88,47.74792236602797
2016-01-27,1035.171142578125,2021.0,47.35219375673956,-12.609806259480592,1626986,30.88,48.04662792489583
2016-01-28,1040.28076171875,2021.0,49.53454134409839,-10.699492486937288,3106660,30.88,48.55757498200837
2016-01-29,1067.099853515625,2021.0,59.114313102188056,-6.941461638761666,2235744,30.88,49.581501109399966
2016-02-01,1072.1871337890625,2021.0,60.64059834891447,-3.512207571925273,1495274,30.88,47.32740651050946
2016-02-02,1070.1343994140625,2021.0,59.67260762010551,-0.9491957879715756,1475588,30.88,43.74987854806849
2016-02-03,1078.2559814453125,2021.0,62.24077516571286,1.7175544132080631,1308692,30.88,44.0770327744784
2016-02-04,1079.9296875,2021.0,62.7670037495102,3.920830359654929,1250046,30.88,42.95828079090141
2016-02-05,1080.7772216796875,2021.0,63.0478404787232,5.669971444742032,1402996,30.88,43.19224250471814
2016-02-08,1054.448974609375,2021.0,50.344279977125126,4.875507042039089,1063658,30.88,43.55550063295396
